"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.94842686879877e-20,1.20455630163326,0.422,0.254,9.36449857799179e-16,"2","LIN7A"
3.52493310795874e-20,0.565768248030515,0.82,0.661,1.11955400441878e-15,"2","MAGI2"
4.20351618635077e-20,0.777440104416429,0.739,0.605,1.33507877594687e-15,"2","PTPRM"
4.26122709721325e-20,0.92869853931997,0.335,0.163,1.3534083383459e-15,"2","GFRA3"
8.16107863682797e-20,0.897578412315666,0.594,0.427,2.59204018584293e-15,"2","TMEM135"
1.64878675951102e-19,1.23142962407415,0.434,0.268,5.23671162688296e-15,"2","RNF217"
1.71890964412334e-19,0.734648421273991,0.704,0.587,5.45942892070013e-15,"2","GRN"
1.74436681931163e-19,0.750284130457396,0.367,0.19,5.54028345481566e-15,"2","GJB2"
2.09940720261794e-19,1.47640446694242,0.291,0.14,6.66792721623482e-15,"2","PRKAA2"
2.42880269176084e-19,0.95359329521838,0.561,0.389,7.71412022930161e-15,"2","COL15A1"
2.46065440833679e-19,0.599674404975648,0.785,0.684,7.81528446631848e-15,"2","LYST"
2.65578580779968e-19,0.797273439953657,0.781,0.647,8.43504130415258e-15,"2","PDGFC"
3.1627253361819e-19,0.420535143326313,0.935,0.882,1.00451319402473e-14,"2","MYL12A"
3.42722378823726e-19,0.763844737256406,0.633,0.469,1.08852054738204e-14,"2","TMEM47"
3.6228091039901e-19,1.39715206741847,0.31,0.158,1.15064039951829e-14,"2","GLRB"
6.03703465949789e-19,0.651744687112508,0.771,0.665,1.91742257820312e-14,"2","BNIP3L"
8.54869125272673e-19,0.442170709577704,0.914,0.836,2.71514982877854e-14,"2","BACH1"
9.29218162896221e-19,0.61641216016928,0.757,0.633,2.95128980717469e-14,"2","FERMT2"
1.41908907484047e-18,0.400506988014262,0.928,0.86,4.50716881060081e-14,"2","COL1A2"
2.92216362181343e-18,0.498046326611855,0.861,0.706,9.28108387924163e-14,"2","NR2F2-AS1"
2.96296987629651e-18,0.756659076177133,0.63,0.455,9.41068862410536e-14,"2","TGFA"
3.22077280713903e-18,0.791968330223831,0.654,0.497,1.02294965127543e-13,"2","PPP2R3A"
3.6642858559132e-18,1.1710678559826,0.265,0.126,1.16381383069659e-13,"2","ANXA3"
3.69648317917884e-18,0.479938320729972,0.788,0.628,1.17404002253899e-13,"2","RP11-166D19.1"
3.71136074408052e-18,0.720217120390573,0.654,0.486,1.17876528592741e-13,"2","PARK2"
4.22323081184387e-18,0.555459546691592,0.802,0.707,1.34134033814973e-13,"2","PCDH9"
4.56021895451963e-18,0.555051923391374,0.78,0.669,1.44837114214498e-13,"2","RAP1GDS1"
5.82830873249722e-18,0.671969510740374,0.757,0.621,1.85112913652844e-13,"2","ENO2"
5.99798271328418e-18,0.875040046909027,0.587,0.452,1.90501928956619e-13,"2","BMP2K"
6.09691804603979e-18,0.752580840279789,0.631,0.508,1.9364421406027e-13,"2","CHD7"
6.66852029743138e-18,1.20183335991026,0.332,0.173,2.11798873166718e-13,"2","NOTCH3"
7.35819151030681e-18,1.18722068795991,0.448,0.293,2.33703520558854e-13,"2","AHNAK2"
7.40371634019472e-18,0.788301927270995,0.76,0.628,2.35149434680924e-13,"2","YWHAH"
7.57970783971988e-18,1.25689375661703,0.45,0.296,2.40739100697343e-13,"2","RP11-444D3.1"
9.51639374951239e-18,1.03247316618896,0.436,0.28,3.02250181878263e-13,"2","FHL1"
9.92167325464619e-18,0.419025326151631,0.928,0.843,3.15122264240818e-13,"2","STARD13"
1.01796879164343e-17,0.796003806108367,0.624,0.484,3.23317067913868e-13,"2","ARHGEF2"
1.01898489250933e-17,0.459290255977108,0.956,0.888,3.23639791709888e-13,"2","CXXC5"
1.04618676880722e-17,0.655821982171395,0.75,0.647,3.3227937964086e-13,"2","PPP1R12B"
1.08589111395365e-17,0.84988748567575,0.601,0.451,3.44889876702819e-13,"2","CTNNAL1"
1.18884235546202e-17,0.626084027517017,0.765,0.636,3.77588220518291e-13,"2","SNX29P2"
1.28103528452869e-17,0.989985899481275,0.757,0.646,4.06869616719156e-13,"2","SERPINE1"
1.4910627085818e-17,0.545002427691393,0.884,0.797,4.73576426872666e-13,"2","SEPT9"
1.66557685295361e-17,0.412182446325963,0.924,0.83,5.29003864266597e-13,"2","MYO1E"
1.68213821267792e-17,0.502135693042222,0.806,0.671,5.34263917728633e-13,"2","FRMD4A"
1.777787493649e-17,0.559209030942509,0.753,0.65,5.6464308585786e-13,"2","GALNT2"
1.8736749127337e-17,1.67690603288586,0.356,0.209,5.95097889033349e-13,"2","CXCR4"
2.64078344161675e-17,0.513584173482108,0.797,0.727,8.38739228891895e-13,"2","KDSR"
3.26591277293001e-17,1.52378857709959,0.28,0.141,1.0372865558103e-12,"2","GXYLT2"
3.95931599210743e-17,0.648476912542697,0.693,0.574,1.25751835225324e-12,"2","TOM1L2"
4.91466053806281e-17,0.849504532176636,0.554,0.416,1.56094533349413e-12,"2","RBPMS"
6.00010781432968e-17,1.21626016868458,0.346,0.196,1.90569424290925e-12,"2","RP11-599J14.2"
6.08078344476437e-17,0.768770060590838,0.481,0.315,1.93131762989161e-12,"2","TFPI2"
7.15351517313253e-17,0.795505333329751,0.589,0.437,2.27202795413862e-12,"2","ITPR1"
7.59490631976417e-17,0.44313691840916,0.801,0.733,2.4122181962203e-12,"2","PRSS23"
8.05571211390161e-17,0.575201744587765,0.734,0.599,2.55857472449629e-12,"2","ADK"
8.29986119574351e-17,0.396425728457907,0.998,0.841,2.6361189143801e-12,"2","MTATP6P1"
1.01948565678067e-16,0.98981335604735,0.423,0.268,3.2379883945011e-12,"2","C2orf88"
1.04485950999363e-16,0.725960962269275,0.668,0.528,3.31857828969078e-12,"2","LRP4"
1.06418544155151e-16,0.892554058691216,0.515,0.367,3.37995938091174e-12,"2","RBMS2"
1.27600536252578e-16,0.572224612280549,0.832,0.731,4.05272063191815e-12,"2","KLHL29"
1.81391202795325e-16,0.78338010643595,0.587,0.448,5.76116599198233e-12,"2","ODF2L"
2.0785273888098e-16,0.982717420859182,0.589,0.466,6.60161083959882e-12,"2","ATP13A3"
2.66248394894752e-16,1.21630423239186,0.422,0.282,8.45631527025222e-12,"2","TFAP2A"
3.06660159444277e-16,0.603192075821219,0.707,0.571,9.73983332410969e-12,"2","NR2F1-AS1"
4.02803744662013e-16,0.649759789430956,0.72,0.573,1.27934497342102e-11,"2","SUPT3H"
4.97176748720679e-16,1.32376167969073,0.252,0.121,1.57908307161175e-11,"2","RP11-15J10.8"
