"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.60902647545138e-249,5.60868505582901,0.538,0.007,2.09909289886811e-244,"4","INO80C"
6.39480657835048e-233,5.58161009711612,0.559,0.011,2.03105451734989e-228,"4","PENK"
5.40937697520589e-80,7.85744184279848,0.261,0.011,1.71807222109514e-75,"5","COL20A1"
1.12177704714625e-130,6.20527482736614,0.5,0.031,3.56287607944121e-126,"5","SOX2"
6.32971077530658e-137,5.89190071786132,0.57,0.043,2.01037943934512e-132,"5",7SK.2
9.79706811537157e-59,5.37209410502941,0.289,0.025,3.11164680412317e-54,"5","RP11-161M6.2"
3.92799501309113e-54,5.13697412676689,0.275,0.025,1.24757049610788e-49,"5","INHBA"
4.09398184435664e-54,5.13137534797297,0.296,0.03,1.30028957358611e-49,"5","ITM2A"
8.22637874243952e-45,5.03751316978437,0.254,0.026,2.61278015238622e-40,"5","SMARCC2"
2.23180393702847e-32,5.03461328674087,0.303,0.056,7.08843248439613e-28,"5","CNR1"
1.95888803563922e-121,4.84389210723981,0.592,0.054,6.22162428999373e-117,"5","MT-ATP8"
3.24200619006261e-37,4.69060165596461,0.31,0.051,1.02969358602578e-32,"5","PCDH20"
0.000902957666753507,2.73203743077617,0.078,0.264,1,"6","APOD"
0.00563174822418079,2.20749469085558,0.091,0.254,1,"6","C5orf51"
0.00200414068430528,2.06187216387024,0.078,0.254,1,"6","SULT1A1"
0.00373751146455715,1.8530745888712,0.091,0.263,1,"6","PPP1R12C"
0.000741941360271606,1.82919669425827,0.065,0.251,1,"6","PTPN23"
0.00490673637929637,1.82137535991594,0.091,0.256,1,"6","USP5"
0.00289110128096584,1.81270360268397,0.104,0.291,1,"6","AGAP2-AS1"
0.00158244537336019,1.81253139677501,0.091,0.283,1,"6","PRPSAP2"
0.00112406380652878,1.78398440027139,0.091,0.289,1,"6","TMEM99"
0.000388198199179938,1.77046215275244,0.078,0.287,1,"6","SLC4A2"
6.50914196671544e-179,13.1858483775305,0.304,0,2.06736858004849e-174,"7","CNTF"
1.37731850468886e-122,10.4463683822019,0.261,0.001,4.37450130274228e-118,"7","DCLK3"
5.0243185921378e-160,10.0582231026956,0.37,0.002,1.59577382804889e-155,"7","KRT14"
1.83088211474941e-168,9.49098472793136,0.5,0.006,5.81506468465559e-164,"7","NCMAP"
9.38032627821981e-193,9.14363616344377,0.609,0.009,2.97928542922539e-188,"7","MME"
7.71945485191863e-140,9.1242735689196,0.935,0.051,2.45177605551788e-135,"7","PRX"
1.30273597609646e-119,9.0542163860141,0.283,0.002,4.13761973367998e-115,"7","SMCO3"
1.94847811776856e-89,8.65965221180389,0.283,0.004,6.18856134984473e-85,"7","KIF19"
1.61876863549765e-108,8.61858160300391,0.5,0.015,5.14137106320408e-104,"7","DRP2"
5.00061324366403e-246,8.39999095698156,0.565,0.003,1.58824477232013e-241,"7","SFRP5"
5.00315640197939e-199,10.2502940401579,0.444,0.002,1.58905250483267e-194,"8","CCL3L3"
1.21735943504248e-280,9.52159659660475,0.528,0.001,3.86645530163843e-276,"8","ITGAX"
4.90056906116024e-160,9.17770145915252,0.389,0.002,1.5564697395151e-155,"8","ST18"
8.22833139017922e-222,8.61754995546605,0.778,0.011,2.61340033283482e-217,"8","CD86"
4.63848065943935e-138,8.58017281283348,0.333,0.002,1.47322784224453e-133,"8","CCL4L1"
5.83092915279512e-102,8.56232123805504,0.278,0.002,1.85196140821926e-97,"8","IL1RN"
1.18040837486953e-233,8.33378711701933,0.778,0.01,3.7490950394231e-229,"8","OLR1"
3.02640910886514e-265,8.19306682488555,0.75,0.007,9.61217797066658e-261,"8","CLEC7A"
