"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.44741961219793,0.461,0.029,0,"6","ESPN"
0,4.40434258124425,0.65,0.06,0,"6","AP000462.2"
0,4.10361569579762,0.413,0.046,0,"6","MT1L"
0,4.04648274915158,0.893,0.335,0,"6","VEGFA"
0,3.83482465380181,0.506,0.118,0,"6","OLFM1"
0,3.81406373372214,0.67,0.075,0,"6","L1CAM"
0,3.75524297160698,0.528,0.054,0,"6","SORCS3"
0,3.7066205092451,0.339,0.045,0,"6","AC007563.5"
0,3.59706957107184,0.63,0.07,0,"6","MAL"
0,3.54054135902922,0.474,0.053,0,"6","AZGP1"
9.24806714553221e-77,3.46921511829911,0.291,0.122,2.93727860609249e-72,"6","LOX"
0,3.4121709679093,0.926,0.279,0,"6","CADM1"
0,3.39849948235658,0.356,0.042,0,"6","RP11-130F10.1"
0,3.3958552845026,0.491,0.067,0,"6","PMP2"
0,3.38047252959149,0.518,0.057,0,"6","RP11-236F9.2"
9.32706781331328e-270,3.37482908648398,0.262,0.037,2.96237000818643e-265,"6","RP11-509E16.1"
0,3.3491742764682,0.429,0.068,0,"6","MIR210HG"
0,3.32136113253407,0.596,0.073,0,"6","RASGEF1C"
0,3.31727364140388,0.364,0.043,0,"6","CHMP1B2P"
2.35641931871917e-282,3.31671950902771,0.288,0.043,7.48422339818397e-278,"6","GRIN2C"
0,3.31559435830137,0.399,0.064,0,"6","ADSSL1"
0,3.3089846418304,0.609,0.073,0,"6","RP11-145O15.3"
2.40848941170508e-274,3.24891814057635,0.288,0.044,7.64960322051649e-270,"6","CST6"
0,3.24891149839638,0.872,0.303,0,"6","CXXC5"
0,3.23606966201491,0.569,0.08,0,"6","FOXD3"
0,3.22656145060883,0.462,0.072,0,"6","MT2P1"
0,3.1991969645284,0.57,0.115,0,"6","FAM19A5"
0,5.46957467227249,0.313,0.017,0,"7","POU2AF1"
0,5.31890365308755,0.322,0.017,0,"7","FCRL5"
0,4.8698017377011,0.373,0.026,0,"7","JSRP1"
0,4.78704831643502,0.458,0.048,0,"7","IGJ"
0,4.78703911789306,0.477,0.041,0,"7","MZB1"
0,4.71234048107633,0.393,0.051,0,"7","PIM2"
0,4.70235079073012,0.305,0.021,0,"7","CD79A"
0,4.68943741072336,0.389,0.039,0,"7","DERL3"
0,4.68067374176364,0.422,0.025,0,"7","RP11-731F5.2"
0,4.59019455746925,0.377,0.068,0,"7","SDC1"
2.74000592118527e-162,4.57147258053999,0.377,0.128,8.70253280627655e-158,"7","TP53INP1"
0,4.31209901005371,0.37,0.06,0,"7","SPAG4"
0,4.22227651486148,0.303,0.034,0,"7","ZBP1"
5.34137729597244e-294,4.05950917399113,0.267,0.035,1.69647484297381e-289,"7","SLAMF7"
1.57575090712186e-63,4.02288793375123,0.516,0.463,5.00474245610972e-59,"7","XBP1"
1.53540650410683e-164,3.99968509542147,0.318,0.088,4.87660459769372e-160,"7","PTP4A3"
7.04742917799414e-216,3.9890488266856,0.365,0.093,2.23833398122272e-211,"7","SEL1L3"
8.15983140510001e-314,3.94518275882693,0.313,0.046,2.59164405257381e-309,"7","HSH2D"
1.08359149466655e-190,3.85360903008162,0.455,0.169,3.44159494621043e-186,"7","FKBP11"
2.89429492691495e-253,3.79174639839121,0.374,0.084,9.19257011737458e-249,"7","FAM46C"
2.43501691741734e-99,3.68392317686289,0.29,0.107,7.73385723140921e-95,"7","RAB30"
